General Area (State),General Area (City),Services Offered,Description,Marked for Cleaning,Distributor Name,lat,lng,Location,Distributor Contact (Phone)
Maharashtra,Pune,Oxygen,,,Oxygen Concentrator,18.5204303,73.8567437,Pune,['+919307000012']
Maharashtra,Pune,Hospital Beds,"Notes: 600 beds,Admission till 6pm daily",,Rss Jankalyansamiti Covidcare,18.4914883,73.82172899999999,Karve Nagar,['+919359693045']
Maharashtra,Pune,Plasma / Blood,Contact Person: Rakesh,,Ruby Hall Blood Bank,18.5204303,73.8567437,Pune,['+919604124217']
Maharashtra,Pune,Other,Notes: Well-equipped Ambulances,True,Helpnow Iim Iit Initative,28.6450624,77.1193497,"Mumbai,Pune,Delhi Banglore",['+918899889952']
Maharashtra,Pune,Oxygen,,,Ecomed Solution,18.5204303,73.8567437,Pune,['+919403004893']
Maharashtra,Pune,Hospital Beds,,,Tanmay Hospital,18.5204303,73.8567437,Pune,['+919860148121']
Maharashtra,Pune,Plasma / Blood,Contact Person: Amit,,Psi Blood Bank,18.5204303,73.8567437,Pune,['+919762909434']
Maharashtra,Pune,Tiffin Services,Notes: Tag on twitter or call - https://twitter.com/rons1212/,True,Free Meal,18.531736,73.83147,,['+919359176814']
Maharashtra,Pune,Other,Notes: Can arrange doctor tele consultation PAN India,True,Ajay Vora,18.4932931,73.8145648,,['+919820744393']
Maharashtra,Pune,Oxygen,Notes: Oxygen Concentrator dealers,,Paras Surgical,18.4910496,73.8328095,"Shop No. 13, Sai Govind Apartment, Sadashiv Peth,Pune411030, Dist. Pune, Maharashtra","['+918048115621', '+919822796974', '+919822781818']"
Maharashtra,Pune,Hospital Beds,,,Rajendra Mohite,18.5204303,73.8567437,Pune,"['+919518593779', '+919011087560']"
Maharashtra,Pune,Plasma / Blood,Contact Person: Sunil,,Acharya Anandrishiji Blood Bank,18.5204303,73.8567437,Pune,['+917350002525']
Maharashtra,Pune,Tiffin Services,,True,Curcuma Caterers,18.5420423,73.9354985,,['+919604624262']
Maharashtra,Pune,Other,Notes: 40 beds+Oxygen tanks available,,Sai Sneha Hospital,18.5204303,73.8567437,Pune,['+912026959209']
Maharashtra,Pune,Oxygen,Notes: Oxygen Concentrator dealers,,S R Surgical,18.5575649,73.910242,"Sankalp Nagri, Ramwadi, Wadgaon Sheri,Pune411014, Dist. Pune, Maharashtra","['+917971339249', '+919359468484', '+919359468484']"
Maharashtra,Pune,Hospital Beds,,,Vaibhav Hospital,18.5493286,73.88891819999999,"Ganga Complex, Opp Neeta Park Airport Road, Near Gunjan Theater, Yerawada, Pune, Maharashtra411006",['+919325362742']
