General Area (State),General Area (City),Services Offered,Description,Marked for Cleaning,Distributor Name,lat,lng,Location,Distributor Contact (Phone)
Uttar Pradesh,Kanpur,Medicines,Notes: Distributor,,Talati Bros,26.464522,80.3583531,59/32 Birhana Road,['+919415042016']
Uttar Pradesh,Kanpur,Oxygen,,,,26.449923,80.3318736,Kanpur,['+919696171717']
Uttar Pradesh,Kanpur,Hospital Beds,Notes: ICU beds Available,,Grace Hospital,26.4944595,80.27963369999999,"Lakhanpur, Kanpur",['+919935523711']
Uttar Pradesh,Kanpur,Other,,,Ambulance Services,26.449923,80.3318736,Kanpur,['+919935546883']
Uttar Pradesh,Kanpur,Medicines,Medicine name: Tocilizumab,,Talati Bros,26.464522,80.3583531,"59/32, Birhana Roadkanpurkanpur,Kanpur,208001",['+919415042016']
Uttar Pradesh,Kanpur,Oxygen,,,Bindu Goyal,26.449923,80.3318736,Kanpur,['+918318200414']
Uttar Pradesh,Kanpur,Hospital Beds,,,Rajawat Hospital,26.3717949,79.9536725,"Akbarpur South, Saraimita, Akbarpur",['+917081200200']
Uttar Pradesh,Kanpur,Other,,,Amba Ambulance,26.449923,80.3318736,Kanpur,['+919839116656']
Uttar Pradesh,Kanpur,Medicines,Medicine name: Tocilizumab,,Pharma Plus,26.4665966,80.31035159999999,"118/516 B,Kaushalpuri,Near Punjabi Dhabagumti No- 5,Kanpur,208012",['+919334266555']
Uttar Pradesh,Kanpur,Oxygen,Notes: 5L Oxygen Refill,,,26.449923,80.3318736,Kanpur,['+919984449403']
Uttar Pradesh,Kanpur,Hospital Beds,Notes: ICU Beds,,Dr Pranjal Tiwari,26.4963795,80.2534603,"4Th Floor, Narayana Hospital, Panki, Kanpur","['+917800007704', '+917800007705']"
Uttar Pradesh,Kanpur,Other,,,Ankit Ambulance,26.449923,80.3318736,Kanpur,['+918887793400']
Uttar Pradesh,Kanpur,Medicines,Medicine name: Fabiflu 400mg,,Srish Pharma,26.4625992,80.3541104,"Birhana Road, Kanpur",['+919532679828']
Uttar Pradesh,Kanpur,Oxygen,,,,26.449923,80.3318736,Kanpur,['+917080133780']
Uttar Pradesh,Kanpur,Hospital Beds,Notes: 6 Oxygen beds,,Apollo Hospital,26.4777782,80.3374546,"14/138 Mall Rd, Chunni Ganj, Permat, Kanpur, Uttar Pradesh 208001",['+919910056705']
Uttar Pradesh,Kanpur,Other,,,Punit Ambulance,26.449923,80.3318736,Kanpur,"['+919839410777', '+919936576497']"
Uttar Pradesh,Kanpur,Oxygen,Notes: Oxygen Refill,True,,26.449923,80.3318736,,['+919792869369']
Uttar Pradesh,Kanpur,Hospital Beds,"Notes: ICU beds, Ventilators, Oxygen beds Available",,Smart Care Hospital,26.4775583,80.3353411,"Permat, 96/2, Chunni Ganj, Colonelganj, Kanpur, Up",['+919839771626']
Uttar Pradesh,Kanpur,Other,Notes: Home Based RT-PCR Test,,Shikar/ Rahul,26.412927,80.3853968,"Lal Path, Kanpur, Up","['+918687927734', '+919338688150']"
Uttar Pradesh,Kanpur,Oxygen,,,,26.4486055,80.2740017,"C-13, Udyog Kunj, Near Iia Bhawan, Panki Ind. Area, Surajpur Site V",['+919454416388']
Uttar Pradesh,Kanpur,Hospital Beds,Notes: Oxygen beds,,Priya Hospital,26.430488,80.2998716,"D-25 & 30, Bypass Road, Vishwabank, Hig, Barra, Kanpur, Uttar Pradesh",['+919450326716']
Uttar Pradesh,Kanpur,Other,,,Md Path Lab,26.449923,80.3318736,"Kanpur, Uttar Pradesh",['+917466081174']
Uttar Pradesh,Kanpur,Oxygen,,,,26.5596101,80.2240892,"B-1/1, Site Iii, Industrial Area Rd, Panki",['+918299550116']
Uttar Pradesh,Kanpur,Hospital Beds,,,Spm Hospital,26.5010406,80.2577352,"C46-50, Kalyanpur, G.T Road","['+919236724483', '+918707761566']"
Uttar Pradesh,Kanpur,Oxygen,,,,26.449923,80.3318736,Kanpur,['+918787092670']
Uttar Pradesh,Kanpur,Hospital Beds,,,Krishna Super Specialty Hospital,26.4500767,80.34474019999999,"363, Near Tatmil Chauraha, Harris Ganj, Kanpur",['+918400300216']
Uttar Pradesh,Kanpur,Oxygen,,,,26.449923,80.3318736,Kanpur,['+917309565645']
Uttar Pradesh,Kanpur,Hospital Beds,Notes: Oxygen Beds,True,Jl Rohtagi Hospital,26.478717,80.3055193,,"['+915122297247', '+915122297605', '+915122297234', '+915122296037']"
Uttar Pradesh,Kanpur,Oxygen,,,,26.449923,80.3318736,Kanpur,['+917985096433']
Uttar Pradesh,Kanpur,Hospital Beds,Notes: 25 Isolation Beds Available,,Medihealth Hospital,26.4759532,80.3000979,"Model Town, Sarvodaya Nagar, Kanpur",['+919140693177']
Uttar Pradesh,Kanpur,Oxygen,Notes: Oxygen Refill,,,26.449923,80.3318736,Kanpur,['+915111220270']
Uttar Pradesh,Kanpur,Hospital Beds,Notes: Oxygen Beds,,Regency Hospital,26.4473752,80.31457979999999,"16/17, Block K, Govind Nagar, Kanpur","['+915123502222', '+919839027500']"
