General Area (State),General Area (City),Services Offered,Description,Marked for Cleaning,Distributor Name,lat,lng,Location,Distributor Contact (Phone)
Uttar Pradesh,Prayagraj,Medicines,,,Rathi Medical,25.4358011,81.846311,20 Brg Market,['+915622269304']
Uttar Pradesh,Prayagraj,Oxygen,,True,Sujeet Oxygen,,,Agra,['+918737026009']
Uttar Pradesh,Prayagraj,Hospital Beds,,,Shrijan Hospital,25.4358011,81.846311,Prayagraj,['+919935532134']
Uttar Pradesh,Prayagraj,Other,Notes: with oxygen & ventilator,True,Warsi Ambulance,25.4433934,81.8283405,,['+919198626830']
Uttar Pradesh,Prayagraj,Medicines,Medicine name: Tocilizumab,,Astha Medical Agency(,25.4433499,81.8332159,"83/85,Leader Roadallahabad,Allahabad,211003",['+919415316480']
Uttar Pradesh,Prayagraj,Oxygen,,True,,25.4358011,81.846311,,['+918756400408']
Uttar Pradesh,Prayagraj,Hospital Beds,,,Shakuntala Hospital,25.4358011,81.846311,Prayagraj,['+919415216165']
Uttar Pradesh,Prayagraj,Other,Notes: with oxygen & ventilator,True,Lrt Icu Ambulance,25.4731907,81.8370533,,['+919695119996']
Uttar Pradesh,Prayagraj,Medicines,Medicine name: Tocilizumab,,Medicine House,25.443209,81.834238,"97, Leader Roadallahabad,Allahabad,211003",['+919415235316']
Uttar Pradesh,Prayagraj,Oxygen,,True,,25.4358011,81.846311,,['+917905636611']
Uttar Pradesh,Prayagraj,Hospital Beds,,,Nav Jyoti Hospital,25.4358011,81.846311,Prayagraj,['+917007519435']
Uttar Pradesh,Prayagraj,Other,Notes: with oxygen,True,Rakesh Ambulance,25.4358011,81.846311,,['+919415818834']
Uttar Pradesh,Prayagraj,Medicines,Medicine name: Tocilizumab,,Nanak Medical Agencies Allahabad,25.4331064,81.84156159999999,"Laxmi Narain Marketshahganj , Leader Road32/27,46Gallahabad,Allahabad,211003","['+915323245425', '+919415236618']"
Uttar Pradesh,Prayagraj,Oxygen,,,Prayag Drug Agengcy,25.4434045,81.8311561,Leader Road,['+919956825451']
Uttar Pradesh,Prayagraj,Hospital Beds,,,Yash Hospital,25.4358011,81.846311,Prayagraj,['+919235659064']
Uttar Pradesh,Prayagraj,Other,Notes: with oxygen & ventilator,True,Jk Ambulance,25.4432079,81.841408,,['+917947278065']
Uttar Pradesh,Prayagraj,Medicines,Medicine name: Tocilizumab,,S.S.Traders,25.4455522,81.8386519,"19 E/11,Kamla Nehru Roadcivil Linespo Sadarps Sadar,Allahabad,211003",[]
Uttar Pradesh,Prayagraj,Oxygen,,True,Danish Bhai,25.4669611,81.8594275,,['+918081575397']
Uttar Pradesh,Prayagraj,Hospital Beds,,,Vineeta Hospital,25.4358011,81.846311,Prayagraj,['+919336841609']
