General Area (State),General Area (City),Services Offered,Description,Marked for Cleaning,Distributor Name,lat,lng,Location,Distributor Contact (Phone)
Uttar Pradesh,Agra,Oxygen,,True,Ashish Shukla,26.8796199,81.01037029999999,,['+919696941234']
Uttar Pradesh,Agra,Medicines,Medicine name: Tocilizumab,,Sun Rays Pharma,27.1878667,78.0114839,"1 / 9 , Mubarak Mahal,Fountainagraagra,Agra,282003",['+919319208986']
Uttar Pradesh,Agra,Oxygen,,,Matric Healthcare,27.1998122,78.01097639999999,Civil Lines,['+917947439572']
Uttar Pradesh,Agra,Hospital Beds,"Notes: Dr, Vijay Yadav",True,Shree Ram Hospital,27.2019462,78.0038986,,['+918660514599']
Uttar Pradesh,Agra,Other,"Notes: RT-PCR test at home, cost 1000, time 2-4 days",,Indra Diagnostic,25.4010949,81.8687985,Allahabad/Prayagraj,['+919235447965']
Uttar Pradesh,Agra,Oxygen,,True,Dynamic Enterprises,,,Phaphamau,['+917947152610']
Uttar Pradesh,Agra,Hospital Beds,Notes: 10 Oxygen beds available,True,Purshottam Das Savitri Devi Centre,27.2127258,77.95885609999999,,['+918171252537']
Uttar Pradesh,Agra,Other,"Notes: Testing Facilities: Rapid antigen, (cost rs 300)- 10-11 am",,"Madmax, Hospital",25.4670435,81.8240676,"Baba Chauraha, Ashok Nagar",[]
Uttar Pradesh,Agra,Oxygen,,,Shri Radhey Gases,27.1766701,78.00807449999999,Agra,['+919319118925']
Uttar Pradesh,Agra,Hospital Beds,Notes: 12 Oxygen Beds available,True,Niyati Hospital,27.2123451,77.958286,,[]
Uttar Pradesh,Agra,Other,"Notes: 24/7 Covid Helpline, can also talk to doctors if needed",,,25.4010949,81.8687985,Allahabad/Prayagraj,['+917447179060']
Uttar Pradesh,Agra,Oxygen,,,Advance Gases And Chemicals,27.1766701,78.00807449999999,Agra,['+919897487555']
Uttar Pradesh,Agra,Hospital Beds,Notes: 10 Oxygen Beds available,True,Jai Covid Hospital,27.1766701,78.00807449999999,,['+919897048048']
Uttar Pradesh,Agra,Oxygen,,,Shambavi Gases,27.1766701,78.00807449999999,Agra,['+919412750575']
Uttar Pradesh,Agra,Hospital Beds,Notes: 25 Oxygen beds available,True,Carelife Hospital,27.0990157,77.99416819999999,,['+919412332635']
Uttar Pradesh,Agra,Oxygen,,,Radha Manohar Gases,27.1766701,78.00807449999999,Agra,['+919319107621']
Uttar Pradesh,Agra,Oxygen,,,Hari Gases,27.1766701,78.00807449999999,Agra,['+919897633878']
Uttar Pradesh,Agra,Oxygen,,,Agra Medical Gases,27.1766701,78.00807449999999,Agra,['+919219274797']
