General Area (State),General Area (City),Services Offered,Description,Marked for Cleaning,Distributor Name,Location,Distributor Contact (Phone)
Chhattisgarh,Bilaspur,Medicines,Medicine name: Remdesivir,,Melaram & Brothers,Bilaspur,['+919827165765']
Chhattisgarh,Bilaspur,Oxygen,,,Bilaspur Tar Bar Gurudwara,Bilaspur,['+919300758602']
Chhattisgarh,Bilaspur,Medicines,Medicine name: Remdesivir,,Pramod Medical Agencies,Raigarh,"['+917762232740', '+919425250340']"
Chhattisgarh,Bilaspur,Oxygen,,,Atul,Durg,['+917884036141']
Chhattisgarh,Bilaspur,Medicines,Medicine name: Remdesivir,,Rathi Medical Agencies,Dur,['+919425552481']
Chhattisgarh,Bilaspur,Oxygen,,True,Jugal Sikdar,,['+919893694474']
Chhattisgarh,Bilaspur,Medicines,Medicine name: Remdesivir,,Sanjeevani Pharma Distributors Pvt,Bilaspur,['+914023253917']
Chhattisgarh,Bilaspur,Medicines,Medicine name: Tocilizumab,,City Chemist Bilaspur,"18,19, Medical Complexbehind Hotel Ajit,Teliparabilaspur,Bilaspur,495001",['+919827193199']
Chhattisgarh,Bilaspur,Medicines,Medicine name: Tocilizumab,,Gayatri Medical Agencies,"Medical Complex38, Opp. Hotel Ajeetteliparabilaspur,Bilaspur,495006",[]
Chhattisgarh,Bilaspur,Medicines,Medicine name: Tocilizumab,,Melaram & Brothers,"Bus Stand Roadbilaspur,Bus Stand Road Bilaspur,495001",['+919827165765']
Chhattisgarh,Bilaspur,Medicines,Medicine name: Tocilizumab,,Premier Agencies,"14/15 , Medical Complextelipara ,Bilaspur,Bilaspur,495001",[]
Chhattisgarh,Bilaspur,Medicines,Medicine name: Tocilizumab,,Shyam & Sons,"6,Medical Complexteliparabilaspurx,Bilaspur,495001",[]
