General Area (State),General Area (City),Services Offered,Description,Marked for Cleaning,Distributor Name,Location,Distributor Contact (Phone)
Goa,Margao,Medicines,Medicine name: Remdesevir/Tocilizumab ; Notes: Distributor,,E C Agencies,"Shop No. 12, Bldg. A,Datta Giri Apts.,Varde Valaulikar Road, Margao, Salcette,,Margao,403601",['+919689924771']
Goa,Margao,Oxygen,Notes: Oxygen Supplier,,Govind Poy Oxygen Limited,"Arlem, Raia Margao, Goa",['+918322740322']
Goa,Margao,Tiffin Services,Notes: provide free food to Covid Patients.,,Deepak Pai,Margao,['+919673077177']
Goa,Margao,Other,Notes: RT PCR Home testing (Timing: 8:30-12 pm ),,Hospicio,"Fr Agnel Instituteof Commerce Road, Monte Hill Margao , 403601","['+918322705664', '+918322705654']"
Goa,Margao,Medicines,Medicine name: Remdesevir/Tocilizumab ; Notes: Distributor,,Sambari Enterprises,"Gajanan Opp To Little Primary Schoolmurida Road, Fatordagoa,Fatorda,403602",['+918888612836']
Goa,Margao,Oxygen,,,Asiatic Oxygen Limited,"Housing Board, Near Mutt Areagogol, Margao, Margao, Goa, 403601",['+918322759476']
Goa,Margao,Other,Notes: RT PCR Home testing,,Dylan Dias,"Margao, Goa",['+919822181554']
Goa,Margao,Medicines,Medicine name: Remdesevir/Tocilizumab,True,Raikar Distributor,,['+919579651779']
Goa,Margao,Oxygen,,,The Southern Gas Limited,Margo,['+917875443567']
Goa,Margao,Other,Notes: RT PCR Home testing,,Nilofer,"Margao, Goa",['+919665312588']
