General Area (State),General Area (City),Services Offered,Description,Marked for Cleaning,Distributor Name,Location,Distributor Contact (Phone)
Haryana,Faridabad,Medicines,Medicine name: Tocilizumab,,Gyandeep Enterprises,"Pharmaceuticals Distributors562,Gopi Colony,Old Faridabad,Faridabad,121002",['+919811058054']
Haryana,Faridabad,Oxygen,Notes: Harpal Singh,True,Hindustan Air Product,,['+919910701450']
Haryana,Faridabad,Hospital Beds,Notes: (Whatsapp) Icu and normal beds,,Lotus Hospital,Faridabad,['+919792175508']
Haryana,Faridabad,Oxygen,Notes: Oxygen Cans,True,,,['+918810311034']
Haryana,Faridabad,Hospital Beds,,,District Administration,Faridabad,"['+919560627291', '+919518282248']"
Haryana,Faridabad,Oxygen,Notes: Oxygen Cans,True,,,"['+917838338086', '+918287777534', '+919971997291', '+919810799286']"
Haryana,Faridabad,Hospital Beds,Notes: ONLY NORMAL BEDS BRING YOUR OWN OXYGEN,,Jeneth Hospital,Ballabhgarh,"['+918130501044', '+919311288122', '+911292210422']"
Haryana,Faridabad,Oxygen,,,Argon Air Gases,Gali No-6 Sec 25,[]
Haryana,Faridabad,Hospital Beds,Notes: 200 beds,,,Dps Sector 81,"['+917669430727', '+917669430728']"
Haryana,Faridabad,Oxygen,,True,Vinay Instrument Works,,['+919350068204']
Haryana,Faridabad,Hospital Beds,Notes: Oxygen Beds,,Durga Hospital,"33 Feet Road, Bhagat Singh Colony, Tigaon Rd, Near Bohra Public School, Gharwali Colony, Sector 4, Ballabhgarh",['+911294895917']
Haryana,Faridabad,Oxygen,Notes: Sector 15,True,Ashta,,['+918810311034']
Haryana,Faridabad,Hospital Beds,Notes: Oxygen & ICU beds available,True,Kedar Hospital,,['+919711907803']
Haryana,Faridabad,Oxygen,,True,Mohit,,['+919718866224']
Haryana,Faridabad,Oxygen,,True,Simrajeet Singh,,['+919818059334']
Haryana,Faridabad,Oxygen,,True,Sandeep Khullar,,['+918178757619']
Haryana,Faridabad,Oxygen,Notes: 40 litre cylinder-7kg gas.,True,Oxygen Cylinder,,['+919910326741']
Haryana,Faridabad,Oxygen,"Notes: 40L cylinder 7kg gas filled in it. You can get it on rent- security amount 17000 refundable when you return the cylinder, rent 500rs per day per cylinder. Gas charges Rs 3000. Once consumed you can get it refilled from us.",True,Oxygen Cylinders,,['+919910326741']
