General Area (State),General Area (City),Services Offered,Description,Marked for Cleaning,Distributor Name,Location,Distributor Contact (Phone)
Chhattisgarh,Raipur,Medicines,Medicine name: Remdesivir,,Sadhana Medico Traders & Medical,Raipur,"['+919329106333', '+917714044432']"
Chhattisgarh,Raipur,Oxygen,,,Raipur Iron Steel Traders Association - Vasanik Rishta Karya,"Samata Arcade, Samata Colony Raipur",['+919301912546']
Chhattisgarh,Raipur,Hospital Beds,Notes: https://cg.nic.in/health/covid19/RTPBedAvailable.aspx,,Chhattisgarh Dept. Of Health Hospital Bed Directory,Chhattisgarh,[]
Chhattisgarh,Raipur,Medicines,Medicine name: Remdesivir,,Jain Medical Stores,Raipur,['+918839670706']
Chhattisgarh,Raipur,Oxygen,,,Raipur Iron Steel Traders Association - Sanjay Jain,"Samata Arcade, Samata Colony Raipur",['+919425208709']
Chhattisgarh,Raipur,Hospital Beds,,,Shri Medishine Hospital,Raipur,"['+917714222999', '+918067506880']"
Chhattisgarh,Raipur,Tiffin Services,Notes: Free Tiffin service,,,Raipur,['+916263681180']
Chhattisgarh,Raipur,Medicines,Medicine name: Remdesivir,,Kumar Medicose,Raipur,['+919827110901']
Chhattisgarh,Raipur,Oxygen,,,Raipur Iron Steel Traders Association - Mukesh Goyal,"Samata Arcade, Samata Colony Raipur",['+919329100633']
Chhattisgarh,Raipur,Hospital Beds,,,Aarogya Hospital,Raipur,['+917714044115']
Chhattisgarh,Raipur,Other,Notes: Blood Collection Service at Home & CT Scan,True,Apolo Diagnostic Centre,,['+917509999390']
Chhattisgarh,Raipur,Medicines,Medicine name: Remdesivir,,Laxmi Medical Agency,Raipur,"['+919425250777', '+917000042458']"
Chhattisgarh,Raipur,Oxygen,,,Raipur Iron Steel Traders Association - Visambar Agarwal,"Samata Arcade, Samata Colony Raipur",['+919425220352']
Chhattisgarh,Raipur,Hospital Beds,,,Devi Laxmi Hospital,Raipur,['+917712421964']
Chhattisgarh,Raipur,Other,Notes: Blood Collection Service at Home & CT Scan,True,Dr. Ruprela Diagnostic,,['+919713355533']
Chhattisgarh,Raipur,Medicines,Medicine name: Remdesivir,,United Medical Agency,Raipur,"['+917712234505', '+919755755555']"
Chhattisgarh,Raipur,Oxygen,,,Raipur Iron Steel Traders Association - Ashok Arora,"Samata Arcade, Samata Colony Raipur",['+919827145563']
Chhattisgarh,Raipur,Hospital Beds,,,Suyash Hospital,Raipur,['+917712575275']
Chhattisgarh,Raipur,Other,Notes: Blood Collection Service at Home & CT Scan,True,Raipur Diagnostic Centre,,['+918878645677']
Chhattisgarh,Raipur,Medicines,Medicine name: Remdesivir,,Jai Medical Agencies,Raipur,['+919826901000']
Chhattisgarh,Raipur,Hospital Beds,,,Raipura Hospital,Raipur,['+919754339746']
Chhattisgarh,Raipur,Other,Notes: Blood Collection Service at Home & CT Scan,True,Tiwary Clinical Lab,,['+916262115511']
Chhattisgarh,Raipur,Medicines,Medicine name: Remdesivir,,Khatri Medical And Surgicals Shop,Raipur,['+917714025924']
Chhattisgarh,Raipur,Oxygen,,,Choube Colony Trust - N C Jain,Raipur,['+919425211223']
Chhattisgarh,Raipur,Hospital Beds,,,Shri Mahadevam,Raipur,['+917714907575']
Chhattisgarh,Raipur,Other,Notes: Blood Collection Service at Home & CT Scan,True,Srl Lab,,['+918080444255']
Chhattisgarh,Raipur,Medicines,Medicine name: Remdesivir,,Suyash Agencies Shop,Raipur,['+919826685444']
Chhattisgarh,Raipur,Oxygen,,True,Choube Colony Trust - R Y Joglekar,,['+919329113642']
