General Area (State),General Area (City),Services Offered,Description,Marked for Cleaning,Distributor Name,Location,Distributor Contact (Phone)
Haryana,Gurugram,Medicines,Medicine name: Tocilizumab,,Sanjeevani Enterprises,"Lower Ground Floor, Plot No.3Vpo. Sarhaul, Sector 18Near Cbi Bankgurgaon,Gurgaon,122015",['+911244540200']
Haryana,Gurugram,Oxygen,Notes: No home delivery only pick up,,Mithilesh,Delhi/Gurgaon,['+918860411515']
Haryana,Gurugram,Hospital Beds,Notes: Beds available but only taking patient with O2 level >85,True,Aakash Hospital,,['+919990800024']
Haryana,Gurugram,Quarantine Centres,Notes: Isolation Beds Available,,Hotel Grand Vitara,"Sec-46, Gurgaon",['+919311637871']
Haryana,Gurugram,Other,Notes: Doesn't have ICU Support,True,Garima Patient Care,,['+919953393875']
Haryana,Gurugram,Medicines,Medicine name: Tocilizumab,,Novacare Healthcare Solutions P.Ltd,"Khewat No. 435/560 & 812/1002Khasra No.678 Revenue Estatevillage Khandsa Tehsil Kadipurkadipurgurugram,Gurugram,122001",['+911242316700']
Haryana,Gurugram,Oxygen,Notes: Plot number 597 Sector 37 Guragon,,,Guragon,['+919311188123']
Haryana,Gurugram,Hospital Beds,Notes: Beds with Oxygen.,,Covin Care Centre,Near Hotel Dream Connect,['+919876595366']
Haryana,Gurugram,Oxygen,,,Engee Agency,Guragon,['+919811294449']
Haryana,Gurugram,Hospital Beds,,,Naryana Super Speciality,"Plot 3201, Block - V , Dlf Phase - Iii, Nathupur, Sector 24","['+9118003090309', '+917970079700']"
Haryana,Gurugram,Oxygen,,,Shivani,Guragon,['+919810359152']
Haryana,Gurugram,Hospital Beds,,,Sdh Hospital,Sohna,[]
Haryana,Gurugram,Oxygen,,,Hemkund Foundation,Guragon,['+919315173276']
Haryana,Gurugram,Hospital Beds,,True,Manthan Neuro Psychiatry Centre,,['+917065999960']
Haryana,Gurugram,Oxygen,,,Khan Gases,Guragon,['+919311188123']
Haryana,Gurugram,Hospital Beds,,True,Jai Shri Ram Hospital,,['+919868416932']
Haryana,Gurugram,Oxygen,,,Shabbir,Guragon,['+918813070581']
Haryana,Gurugram,Hospital Beds,Notes: Oxygen Beds,True,Esi Hospital,,[]
Haryana,Gurugram,Oxygen,Notes: (whatsapp) free oxygen cylinder refill,,-,"324, Sector 7 Phase2 Imt",['+919717462538']
Haryana,Gurugram,Hospital Beds,Notes: Oxygen Beds,True,Kamla Hospital,,['+919910926116']
Haryana,Gurugram,Oxygen,,True,Khalsa Aid,,['+918708213298']
Haryana,Gurugram,Hospital Beds,Notes: Oxygen Beds,True,Medeor Hospital,,[]
Haryana,Gurugram,Oxygen,,,Ravo Gas,"546, Sector 8 Manesar",['+918700546452']
Haryana,Gurugram,Hospital Beds,Notes: Icu Bed,True,Sgt Medic Institute Budhera,,['+911242278183']
Haryana,Gurugram,Oxygen,,True,Saanjh,,['+919899567999']
Haryana,Gurugram,Hospital Beds,"Notes: 1 Icu Bed, 1 Ventilator",True,Manthan Neuro Psychiatry Centre,,['+919354248565']
Haryana,Gurugram,Oxygen,Notes: Oxygen cans,,,"Manipur, Sector7, Gurugram",['+919873478788']
Haryana,Gurugram,Hospital Beds,,,Burari Covid Centre,Haryana,['+919910053322']
Haryana,Gurugram,Oxygen,,,,Hero Honda Chowk,['+919990254141']
Haryana,Gurugram,Hospital Beds,Notes: Oxygen beds,,Civil Hospital,"Sector 10A, Gurugram,",['+911242333100']
Haryana,Gurugram,Oxygen,,,Gk Industries,Mehauli Road,[]
Haryana,Gurugram,Hospital Beds,,True,Sheetla Hospital,,['+911242875800']
Haryana,Gurugram,Oxygen,Notes: Oxygen kits,,,Sector 10A Gurugram,['+918003209779']
Haryana,Gurugram,Oxygen,,True,Piyush Kr Singh,,['+919873478788']
Haryana,Gurugram,Oxygen,,True,Kind & Care,,['+919654535285']
Haryana,Gurugram,Oxygen,,True,Mg Gases,,"['+919811294449', '+911244083992']"
Haryana,Gurugram,Oxygen,,True,Pooja Oxygen,,['+919810830071']
Haryana,Gurugram,Oxygen,,True,Khan Gases,,['+919311188123']
