General Area (State),General Area (City),Services Offered,Description,Marked for Cleaning,Distributor Name,Location,Distributor Contact (Phone)
Punjab,Mohali,Hospital Beds,Notes: ICU Beds,,Dr Vijay,Faridabad,['+918800253760']
Punjab,Mohali,Medicines,Medicine name: Tocilizumab,,Kul Enterprises(Rpr),"Old Pabhat Road, Opp Modi Kunj Flatsvillage Pabhartzirakpur,Zirakpur,140603",['+919888041014']
Punjab,Mohali,Oxygen,,,Vikram Bharwal,Mohali,['+919216480333']
Punjab,Mohali,Other,,,Canwinn Foundation,Gurugram,['+919654000098']
Punjab,Mohali,Medicines,Medicine name: Tocilizumab,,J P Pharma Solutions Pvt Ltd,"Scf No 90D-28 Basement And Ground Floorindustrial Area Phase 1Mohalimohali,Mohali,160055",['+911722260017']
Punjab,Mohali,Oxygen,Notes: M.K.Bansal,,Anaesthetic Gases Pvt. Ltd.,"Derrabassi, Punjab",['+919216576933']
Punjab,Mohali,Other,Notes: Ventilators for Home is Available,,Kind And Care Health Service,Faridabad,['+919654535285']
Punjab,Mohali,Medicines,Medicine name: Tocilizumab,,Medisense,"C-102 , A-17 Phase 7Industrial Area Taluka Ajitgarhsas Nagar,Mohali,160062",['+911725093239']
Punjab,Mohali,Oxygen,Notes: Vikram Bharwal,,Hitech Industries Ltd.,Mohali,['+919216480333']
Punjab,Mohali,Other,Notes: At home ICU oxygen facility,,Home Care Service,Faridabad,['+919873642200']
