General Area (State),General Area (City),Services Offered,Description,Marked for Cleaning,Distributor Name,lat,lng,Location,Distributor Contact (Phone)
Maharashtra,Palghar,Oxygen,,,Awadh Oxygen Pvt Ltd,19.793138,72.7363158,Tarapur Midc,['+919823717831']
Maharashtra,Palghar,Hospital Beds,,,Dhawale Hospital,19.7181931,72.7638794,"Boisar Rd, Opposite S.T Workshop",['+917720016357']
Maharashtra,Palghar,Oxygen,Notes: Indra kumar tiwari,,Indo Oxygen Pvt. Ltd.,19.8067551,72.73931449999999,"Plot No. N-211/2/2, M.I.D.C., Tarapur Industrial Area","['+919673734572', '+919814145420', '+919880598624']"
Maharashtra,Palghar,Hospital Beds,,,Philia Hospital,19.6990311,72.76660629999999,"Punit Nagar, Juna Palghar","['+917875945592', '+919225149145', '+919595323223']"
Maharashtra,Palghar,Oxygen,,True,Rohan Suresh,19.696742,72.769874,,['+917276599888']
Maharashtra,Palghar,Hospital Beds,Notes: Dr. Manoj Shinde,,Tima Hospital,19.8750216,72.6851633,"Gram Panchayat, Saravali, Khaira Pada, Boisar","['+919834564965', '+918007037017']"
Maharashtra,Palghar,Hospital Beds,Notes: Dr. Rajendra Kelkar,True,,19.6967136,72.769885,,"['+919224661317', '+918806841332']"
Maharashtra,Palghar,Hospital Beds,,,Thunga Hospital,19.7926051,72.74410019999999,"Am-32, Tarapur M.I.D.C., Boisar","['+912525270310', '+912525270308']"
Maharashtra,Palghar,Hospital Beds,,,Chinmaya Hospital,19.8065981,72.748845,"Plot .2A/2B, Behind Panchami Hotel,Chitralaya Road, Bhimnagar, Boisar","['+919545217246', '+918411970693']"
Maharashtra,Palghar,Hospital Beds,,,Life Line (Adhikari) Hospital,19.784296,72.8501782,"Bus Stop, Boisar Rd, Nagzari","['+917030115444', '+917030119444', '+918839614729']"
Maharashtra,Palghar,Hospital Beds,,,Varad Hospital,19.7991102,72.74490399999999,"Building No. Rc 35/7 Behind Tvm School, Taki Naka, Boisar.","['+919373246420', '+919595323223', '+918275075757']"
Maharashtra,Palghar,Hospital Beds,,,Shagun Hospital,19.796273,72.752347,"Navapur Rd, Opp. K.T.Multivision, Tarapur M.I.D.C., Boisar","['+918149338066', '+917770019903', '+917770019902']"
Maharashtra,Palghar,Hospital Beds,,,Relief Hospital,19.8023316,72.7571203,"F-8, Near Don Bosco School, Khodaram Baug, Boisar","['+919049865774', '+919049865775', '+919769246123']"
Maharashtra,Palghar,Hospital Beds,,,Sanjivani Hospital,19.7966456,72.7545853,"Mahaveer Chambers Bldg.1, Floor.1, Navapur Rd, A-Wing, Boisar","['+919225961655', '+917798321657']"
